RT_NM,STP_NM,RT_LINK,RT_DIR,RT_GRP,RT_NUM
501-zum-queen-westbound-downtown-terminal-zum-quee,Centre - Zum Queen Station Stop WB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Downtown Terminal Zum Queen Stop,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
502-zum-main-northbound-sandalwood-loop-route-502-,City Centre Transit Terminal - Platform L,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Hurontario St at Eglinton Ave - NB (Zum Main),https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Hurontario St at Bristol Rd - NB (Zum Main),https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Hurontario St at Matheson Blvd - NB (Zum Main),https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Hurontario St at Britannia Rd - NB (Zum Main),https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Hurontario St at Courtneypark Dr - NB (Zum Main),https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Hurontario St at Derry Rd - NB (Zum Main),https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,County Court South - Zum Main Station Stop NB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,County Court North - Zum Main Station Stop NB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Brampton Gateway Terminal Route 502 NB Stop,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Nanwood - Zum Main Station Stop NB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Wellington - Zum Main Station Stop NB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Theatre Lane - Zum Main Station Stop NB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Vodden - Zum Main Station Stop NB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Williams - Zum Main Station Stop NB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Bovaird - Zum Main Station Stop NB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Sandalwood - Zum Main Station Stop NB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Sandalwood Loop - Route 502 Stop,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Sandalwood Loop - Route 502 Stop,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Sandalwood - Zum Main Station Stop SB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
502-zum-main-southbound-mississauga-city-centre-te,Bovaird - Zum Main Station Stop SB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-southbound-mississauga-city-centre-te/2#trips,South,zum-main,511
