TRIP_ID,RT_ID,RT_NAME,RT_VER,STP_NM,RT_STP_NUM,RT_NUM_STPS,RT_ID_VER,RT_DIR,RT_GRP,RT_GRP_NUM,ROUTE_ID,V_ID,STP_ARV_TM,STP_ARV_DTTM,STP_ID,DATA_TYPE,U_ID,ROW_ID,ERASE_DATA
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Great Lakes Dr s/of Guru Nanak St,54,97,23_2,West,sandalwood,495,23-344,2108,1712567862.0,2024-04-08 05:17:42-04:00,11825,IE,23867691-240304-MULTI-Weekday-03_23_2,53,
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Trinity Common Terminal Route 32/23 WB/18B Stop,55,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,54,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Heart Lake Rd n/of Bovaird Dr,56,97,23_2,West,sandalwood,495,23-344,2108,1712568376.0,2024-04-08 05:26:16-04:00,44755,IE,23867691-240304-MULTI-Weekday-03_23_2,55,
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Heart Lake Rd at 10111 Heart Lake Rd (Lowe's),57,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,56,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Heart Lake Rd n/of Brussels Ave,58,97,23_2,West,sandalwood,495,23-344,2108,1712568464.0,2024-04-08 05:27:44-04:00,44775,IE,23867691-240304-MULTI-Weekday-03_23_2,57,
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Heart Lake Rd at Copperfield Rd,59,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,58,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Heart Lake Rd s/of Brussels Ave,60,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,59,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pky E w/of Heart Lake Rd,61,97,23_2,West,sandalwood,495,23-344,2108,1712568576.0,2024-04-08 05:29:36-04:00,11100,IE,23867691-240304-MULTI-Weekday-03_23_2,60,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pky E at Royal Palm Dr (E),62,97,23_2,West,sandalwood,495,23-344,2108,1712568563.0,2024-04-08 05:29:23-04:00,11110,IE,23867691-240304-MULTI-Weekday-03_23_2,61,YES
23867691-240304-MULTI-Weekday-03,23,Sandalwood,2,Sandalwood Pky E at Royal Palm Dr (W),63,97,23_2,West,sandalwood,495,,,,,,,23867691-240304-MULTI-Weekday-03_23_2,62,YES
