RT_NM,STP_NM,RT_STP_NUM,RT_NUM_STPS,RT_LINK,RT_DIR,RT_GRP,RT_NUM
501-zum-queen-westbound-downtown-terminal-zum-quee,McVean - Zum Queen Station Stop WB,17,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Goreway - Zum Queen Station Stop WB,18,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Airport Road - Zum Queen Station Stop WB,19,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Chrysler - Zum Queen Station Stop WB,20,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Torbram - Zum Queen Station Stop WB,21,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Glenvale - Zum Queen Station Stop WB,22,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Bramalea - Zum Queen Station Stop WB,23,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Bramalea Terminal- Zum Queen 501/501C EB-Departure,24,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Bramalea Terminal- Zum Queen 501 WB-Departure,25,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Dixie - Zum Queen Station Stop WB,26,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Laurelcrest - Zum Queen Station Stop WB,27,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Rutherford - Zum Queen Station Stop WB,28,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Kennedy - Zum Queen Station Stop WB,29,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Centre - Zum Queen Station Stop WB,30,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Downtown Terminal Zum Queen Stop,31,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
502-zum-main-northbound-sandalwood-loop-route-502-,City Centre Transit Terminal - Platform L,1,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Hurontario St at Eglinton Ave - NB (Zum Main),2,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Hurontario St at Bristol Rd - NB (Zum Main),3,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Hurontario St at Matheson Blvd - NB (Zum Main),4,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Hurontario St at Britannia Rd - NB (Zum Main),5,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Hurontario St at Courtneypark Dr - NB (Zum Main),6,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Hurontario St at Derry Rd - NB (Zum Main),7,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,County Court South - Zum Main Station Stop NB,8,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,County Court North - Zum Main Station Stop NB,9,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Brampton Gateway Terminal Route 502 NB Stop,10,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Nanwood - Zum Main Station Stop NB,11,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Wellington - Zum Main Station Stop NB,12,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Theatre Lane - Zum Main Station Stop NB,13,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
502-zum-main-northbound-sandalwood-loop-route-502-,Vodden - Zum Main Station Stop NB,14,18,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-main/511/502-zum-main-northbound-sandalwood-loop-route-502-/1#trips,North,zum-main,511
